Full Product Name,Model,Brand,Brief Naming,Size,Resolution,Response Time,Refresh Rate,Compatible Ports,Warranty
Dell Pro 27 Monitor - E2725HM,E2725HM,DELL,DELL E Series LED Monitor,"27""",,8.0ms,100Hz,"DisplayPort, HDMI, USB-C, VGA, Thunderbolt",3 Years
Alienware 27 QHD Gaming Monitor - AW2725DM,AW2725DM,DELL,Dell Alienware Series LED Monitor,"27""",2560 x 1440 QHD,2.0ms,180Hz,"DisplayPort, HDMI, USB-C, Thunderbolt",3 Years
Dell UltraSharp 27 Thunderbolt™ Hub Monitor - U2724DE,U2724DE,DELL,Dell UltraSharp Series LED Monitor,"27""",2560 x 1440 QHD,8.0ms,120Hz,"DisplayPort, HDMI, USB-C, Thunderbolt, Ethernet",3 Years
Dell UltraSharp 34 Curved Thunderbolt™  Hub Monitor - U3425WE,U3425WE,DELL,Dell UltraSharp Series LED Monitor,"34""",,8.0ms,120Hz,"DisplayPort, HDMI, USB-C, Thunderbolt, Ethernet",3 Years
Dell Pro 24 Plus QHD USB-C Hub Monitor - P2425DE,P2425DE,DELL,DELL Pro Series LED Monitor,"24""",2560 x 1440 QHD,8.0ms,100Hz,"DisplayPort, HDMI, USB-C, Thunderbolt, Ethernet",3 Years
Dell 27 Plus QHD USB-C Monitor - S2725DC,S2725DC,DELL,DELL S Series LED Monitor,"27""",2560 x 1440 QHD,1.0ms,144Hz,"DisplayPort, HDMI, USB-C, Thunderbolt",3 Years
Dell UltraSharp 38 Curved USB-C Hub Monitor - U3824DW,U3824DW,DELL,Dell UltraSharp Series LED Monitor,"38""",3840 x 1600,5.0ms,,"DisplayPort, HDMI, USB-C, Thunderbolt, Ethernet",3 Years
Dell 24 Plus Monitor - S2425HSM,S2425HS,DELL,DELL S Series LED Monitor,"24""",,1.0ms,144Hz,"HDMI, USB-C, Thunderbolt",3 Years
Dell 24 240Hz Adjustable Stand Monitor - SE2426HGS,SE2426HG,DELL,DELL SE Series LED Monitor,"24""",1920 x 1080 FHD,0.5ms,240Hz,"DisplayPort, HDMI, USB-C, Thunderbolt",3 Years
Dell Pro 27 Adjustable Stand Monitor - E2726HS​,E2726HS,DELL,DELL E Series LED Monitor,"27""",,5.0ms,100Hz,"DisplayPort, HDMI, USB-C, VGA, Thunderbolt",3 Years
Dell Pro 34 Plus Video Conferencing Monitor - P3424WEB,P3424WE,DELL,DELL Pro Series LED Monitor,"34""",3440 x 1440 UWQHD,5.0ms,,"HDMI, USB-C, Thunderbolt, Ethernet",3 Years
Dell Pro 27 QHD Monitor - E2726DS,E2726DS,DELL,DELL E Series LED Monitor,"27""",2560 x 1440 QHD,5.0ms,100Hz,"DisplayPort, HDMI, USB-C, Thunderbolt",3 Years
Dell 27 Plus QHD Monitor - S2725DSM,S2725DS,DELL,DELL S Series LED Monitor,"27""",2560 x 1440 QHD,1.0ms,144Hz,"DisplayPort, HDMI, USB-C, Thunderbolt",3 Years
Dell Pro P 24 16:10 USB-C Hub Monitor - P2426E,P2426E,DELL,DELL Pro Series LED Monitor,"24""",,5.0ms,100Hz,"DisplayPort, HDMI, USB-C, Thunderbolt, Ethernet",3 Years
Dell 24 Monitor - SE2426H,SE2426H,DELL,DELL SE Series LED Monitor,"24""",1920 x 1080 FHD,8.0ms,144Hz,"HDMI, USB-C, Thunderbolt",3 Years
